sentence,deepseek_thinks_slang
"Mike, we want you to come and work for us again, this time be a supervisor, take a step up, run your own team.",True
- Don't pull rank on me.,True
"♪ I fried my head, I'm not a brunette ♪",True
♪ When things don't go my way I have to blow up in the face of my rival ♪,True
♪ Start by putting off your chores and all the crushing bores ♪,True
"I'll come check you later, soldier.",True
"We're going to pay you, man.",True
'And my head just went.,True
"- It's all the bad things, son.",True
I've got better things to do with my time than run around like that.,True
"Between you and me, I don't think he's cut out for your line of work.",True
You're not getting any money off me.,True
"She wanted me to kill you straightaway, but I told her,"" Hold on, girl.",True
Only that I hope it's as hot down there as they say it is!,True
Are you telling us Old Donald is dead?,True
You got a business to run.,True
Ike and Andre and them man.,True
You think you're a big man?,True
"Yeah, he don't remember'cause he got his head beat in.",True
"I'm tired of you fucking dick-riding me, man.",True
"Guess I'm a man now, huh?",True
"I know, I was about to say, the mighty Don bringing out the long game?",True
"When I was his age, I was hot-wiring cars.",True
"At least you're going to school, man.",True
"Folks, the worst is yet to come.",True
"Come on, Murph, will you?",True
"How'd you hit it, Billy?",True
The way the light's hitting that face of yours.,True
"Look, I could put this off, but I genuinely like you.",True
"Hey, I just went to the site after the guy was dead...",True
"The easy way or the hard way, Raines.",True
"Oh, come on, Otto, please.",True
"- Man, this guy can drive!",True
"Damn, it's cold up here.",True
"I mean, this-- this man has a lot to say:",True
- Now can we get off the lighting?,True
Can't go scrounging off my sister every time things get a bit tough.,True
♪ cool as a winter wave,True
"When pubs disappear they never come back, right?",True
"Yeah, before I forget, I did come into this world as Michael Peterson.",True
"Then you know that the only option we have in Afghanistan, is pull out, or negotiate.",True
"Problem is, once you get comfortable or sometimes even before, they ghost you again and again... moving you from prison, to prison, to prison.",True
I heard you tried to teach my liquer man how to play.,True
Couldn't afford to live round here.,True
"A bit wet behind the ears, though.",True
"You know, you keep trying to run away but you've got like Primark written all over you.",True
my Mum's dead my Dad did,True
HOW LONG HAVE YOU AND TOM BEEN GOING OUT?,True
"Then he kept beating me up, so it must have just come out through the beatings.",True
"I had to man the phones, give out my description, take them upstairs, do the business, let them go, give the man his money and I'd keep my money.",True
- What'd you come to me for?,True
"- Yo, come on, man, it ain't like that.",True
"What, you still admire the man?",True
"Come on, Mason, where am I?",True
It broke me up to say goodbye.,True
"Once you are off you go for him, he is unstoppable.",True
"From the Toy house, we are down a tool set, grill utensils and about$ 240 in cash.",True
But today I hit 11.,True
Does Floppy still have his cold?,True
And I don't think this is gonna work.,True
"- He saw our faces, man!",True
"You're like family to me, man.",True
"Don't let them do anything to me, man, please?",True
"But, yes, we are definitely off-limits.",True
I beat you by 6.,True
- Clean the chunk of beef off your hat.,True
So I tried to hit you.,True
"I'm going to send a deputy out there and I gonna have him check up on him, All right?",True
I have a violent fugitive making a run for the Mexican border.,True
"I set the compass, I ride it we'll be in Bermuda in no time.",True
"Ladies, this is Dr. Stan Knight, king of all internists.",True
"Come on, we're not friends.",True
Really don't have much to work with here.,True
"Might be a story there, like that mad butcher and his football team- colored sausages.",True
Time stops for no man ladies and germs.,True
"Come on, you should know that!",True
"It's just we come here all the time and it's usually just fine, you give us an extra ball.",True
""" Any man I see outside I'm going to shoot.",True
Mary broke it off with Miles six months ago.,True
♪ Finds it hard some days to dress,True
"But if he was up for death, would you have come over to testify?",True
My man will be here clocking'.,True
But don't run to me when people start calling you.,True
"'It's had more comebacks than"" The Evil Dead"".",True
You think you're a big man now?,True
There's nothing for man to do round here.,True
"♪ Trash the can, grab the tips, clean my hands, I'm gone ♪",True
"See, that's what's wrong with women, man.",True
So thanks for taking the trip down with me.,True
I'm gonna move the car.,True
So I'm off to try out his infallible system for roulette.,True
"Well, we'II make sure he has enough food, and Ouiser'II keep him calm.",True
"Break ground with me, man.",True
"Mama, this color is drying way too dark.",True
I don't think they're gonna work out.,True
"Look, guys, if I have to come up with some more cash, I'll...",True
You could have been the ugliest girl at work and still been the only one.,True
But I'm not gonna let that guy come through our town... without a fight.,True
"Didn't hit very hard, did you?",True
"Hey, Sphinx, I don't look suspicious, do I, man?",True
"Emphasis on"" might."" A few things I gotta check out.",True
"Oh, my gosh, that's so cool!",True
"If I were to offer you$ 1,000 to snap her neck, would you?",True
Otherwise he's gonna kill our whole family.,True
"We live together, man, we die together.",True
You better come take a look at this.,True
Say Greg hoists and there is no one to towel off his sweaty hands:,True
"I mean, for starters, you're gonna have to shine",True
"This Greek girl did say she wanted to move to Hackney, actually,..... and live like the common people.",True
"Well, I meant to get up really early, but I was still the last nap and I had to fill the dishwasher'cause I was last downstairs, which was a rip-off'cause I didn't get anything to eat.",True
♪ So never thought to stop Or ever kick the habit,True
"I've just been around for a really long time, and there's certain things I know how to sit with.",True
"And she obviously don't want it, man.",True
"Who fancies a trip to the seaside, to see Uncle Pete?",True
""" I won't do that and I'll sit back and you know, I'll write to you and maybe see you and see how long you get and see what you come out like.""",True
- Man starts getting fancy clothes... also starts getting fancy ideas.,True
"I feel like I'm about to go off myself, I'm so full of nerves.",True
"- Yes, man, are you deaf?",True
