SENTENCE	FULL_CONTEXT	SLANG_TERM	ANNOTATOR_CONFIDENCE	MOVIE_ID	SENT_ID	REGION	YEAR	DEFINITION_SENTENCE	DEFINITION_SOURCE_URL	LITERAL_PARAPHRASE_OF_SLANG
Get us all in, man.	Back up, back up. <i> Get us all in, man. </i> Slow... slow down...	man	1	3552835	490	UK	2008			
Everybody knows you used to shit yourself around my old man.	Fuck you. <i> Everybody knows you used to shit yourself around my old man. </i> The day you arrested him, got six of your mates to put him in the van while you watched, like the pussy'ole that you are,	shit yourself	2	3666051	383	UK	2009	to be afraid		be scared
Pass it on, boys- that's the game I want you to learn.	Take it, feel it, and pass it on. <i> Pass it on, boys- that's the game I want you to learn. </i> Pass it on.	boys	1	3120452	2030	UK	2006			
I'm gonna come so fucking hard.	You're unfucking believable. <i> I'm gonna come so fucking hard. </i> Oh, God!	unfucking	1	4473014	21	US	2011			
- Your father used to pull the same stunt...	[ GROWLING AND CHUCKLING] <i> - Your father used to pull the same stunt... </i> - I can't breathe.	stunt	1	3558591	1243	US	2005			
You know where he live?	He likes music, so we're probably gonna hear music. <i> You know where he live? </i> Been to his house yet?	live	1	185218	211	US	2001			
I could be out knocking folks over, but I'm trying to live right.	I'm doing something constructive. <i> I could be out knocking folks over, but I'm trying to live right. </i> You call that living right?	knocking	1	185218	875	US	2001			
Is there any way I can come see you some time?	Listen, Lara, I was, uh... <i> Is there any way I can come see you some time? </i> Just drive over and...	uh	1	5974299	1290	US	2014			
[ store clerk] I bet this is for someone special.	I'd like to get this. <i> [ store clerk] I bet this is for someone special. </i> Yeah... it is.	someone special	1	5036434	763	US	2012			
Look, I'm trying to be your friend, so don't play this game with me.	There's nothing wrong with me. <i> Look, I'm trying to be your friend, so don't play this game with me. </i> - And what game is that?	play this game	1	5036434	1030	US	2012			
I think we should run the finale step, since that's brand-new.	Okay, let's do... <i> I think we should run the finale step, since that's brand-new. </i> What do we think?	run the final step	1	6173232	333	US	2014			
No, and I know that I can be withdrawn at other times, and that I can be hard to be in this with, okay?	Think I don't... <i> No, and I know that I can be withdrawn at other times, and that I can be hard to be in this with, okay? </i> But I just...	okay	1	3618044	385	US	2009			
and I try so hard.	And even now... <i> and I try so hard. </i> And she's the one... she... she always says that she can save me.	try so hard	1	3618044	959	US	2009			
Yo, Caz, this your man and all.	What up with that, bro? <i> Yo, Caz, this your man and all. </i> I don't give a fuck how many guns I've seen him hold.	yo	2	3692182	1524	US	2009	used to add emphasis to a statement		you
We're going to pay you, man.	That fucking uncle of yours took a ton of gear off me, and now he's gonna pay up. <i> We're going to pay you, man. </i> He's got one week.	man	1	3666051	698	UK	2009			
I'm sorry, there's no work for you here, mate.	Fucking hell. <i> I'm sorry, there's no work for you here, mate. </i> - There you go, Don.	mate	2	5623414	819	UK	2013	friend		friend
You would've gone over like an old granny of a sheet of ice.	Cause if I would've pinged you... <i> You would've gone over like an old granny of a sheet of ice. </i> I'll drink to that.	granny	1	6244263	1041	UK	2014			
Still managed to pull it off.	Nor me. <i> Still managed to pull it off. </i> - You did well.	put it off	1	5510712	860	UK	2013			
Yeah, just bang, like that.	KIM: <i> Yeah, just bang, like that. </i> Right.	yeah	1	4640913	506	UK	2011			
You were only supposed to blow the bloody doors off.	- She was only 15 years old. <i> You were only supposed to blow the bloody doors off. </i> She was only 15 years old.	bloody	1	6107374	1565	UK	2010			
♪ From the first half fever Till the cold goodbye ♪	♪ After trial and error ♪ <i> ♪ From the first half fever Till the cold goodbye ♪ </i> ♪ I've broken a few hearts They ripped mine ♪	till	1	4640913	827	UK	2011			
Fuck me, mate, each one of them packs a wallop like a fucking brick through a plate-glass window.	That's because it's a model 36, right? <i> Fuck me, mate, each one of them packs a wallop like a fucking brick through a plate-glass window. </i> Ammo?	mate	1	3666051	600	UK	2009			
- I dropped her off to my mum's.	The little piglet. <i> - I dropped her off to my mum's. </i> - Yeah?	dropped off	1	3320486	346	UK	2008			
Try and find some other activity that keeps you off your feet.	But we all need some way to get through the night. <i> Try and find some other activity that keeps you off your feet. </i> Okay.	off your feet	1	5974299	459	US	2014			
Then I got to come home to Melvin and his bullshit.	"I'm going to the store,"" There a bitch at the store?"" <i> Then I got to come home to Melvin and his bullshit. </i> I want to get saved."	bullshit	1	185218	937	US	2001			
Mark, my-- my first husband he tried to, uh, kill me more than once.	Um... yes. <i> Mark, my-- my first husband he tried to, uh, kill me more than once. </i> And I have a restraining order against him.	uh	1	5974299	1237	US	2014			
She was afraid of the dark.	Your mom loved cocoa with marshmallows when she was a little girl. <i> She was afraid of the dark. </i> So I used to tell her bedtime stories.	afraid of the dark	1	5036434	241	US	2012			
If your father had been a better man, your mother wouldn't be where she is now.	A better man than you could ever be. <i> If your father had been a better man, your mother wouldn't be where she is now. </i> That's so not true.	better man	1	5036434	1065	US	2012			
Maybe some of that can rub off on you.	She's a straight A student. <i> Maybe some of that can rub off on you. </i> Maybe...	rub off	2	5036434	625	US	2012			
Because if it's the bra, just take it off.	Is it the bra? <i> Because if it's the bra, just take it off. </i> You don't need it anyways.	bra	1	5791518	1452	US	2014			
I'm going to have to run a tab for a while.	If you say so. <i> I'm going to have to run a tab for a while. </i> That okay?	run	1	4185464	80	US	2011			
I'm gonna hook before I snap.	Let's get hooked. <i> I'm gonna hook before I snap. </i> Okay.	hook	1	6173232	744	US	2014			
Legend has it, when the Santa Anas blow all bets are off.	It's what makes it so warm this time of year. <i> Legend has it, when the Santa Anas blow all bets are off. </i> Anything can happen.	bets are off	1	5987878	517	US	2006			
He had to take her off the market.	Yes, only because he had the greatest girl in town. <i> He had to take her off the market. </i> - That's the truth.	market	2	5987878	1131	US	2006			
It's hot out this motherfucker.	Hurry up. <i> It's hot out this motherfucker. </i> There's police everywhere.	hot out	1	3692182	88	US	2009			
he had this little standoff shit where he would square off on a cat and he had this little slow rock.	He would... <i> he had this little standoff shit where he would square off on a cat and he had this little slow rock. </i> You know what I'm saying?	shit	1	3692182	1745	US	2009			
And then they throw fucking taco sauce and gasoline on the plastic and burn your ass up.	The fucking Dominicans... they take pliers, put' em on your nuts, squeeze your nuts like a walnut. <i> And then they throw fucking taco sauce and gasoline on the plastic and burn your ass up. </i> The Columbians... the Columbians?	fucking	1	3692182	1652	US	2009			
Come on, I got this, man.	Shut the fuck up, bitch! <i> Come on, I got this, man. </i> Take this, take this.	got this	1	3692182	934	US	2009			
- Oh, man, that was nothing.	I wouldn't have won that appeal if it wasn't for him. <i> - Oh, man, that was nothing. </i> - Nothing?	man	1	3692182	663	US	2009			
I will burn you in your motherfucking eye.	I'm not playing with you, nigga. <i> I will burn you in your motherfucking eye. </i> What did you say to the fucking police?	motherfucking	1	3692182	1438	US	2009			
And you have to understand, you can stay here as long as you need, until you get on your feet.	Yeah, basically we were just thinking, what if you moved out, you know, like what would that be like? <i> And you have to understand, you can stay here as long as you need, until you get on your feet. </i> A couple of days, three days...	on your feet	1	5836657	1223	US	2014			
- Yeah, it does feel hot.	- I think you must be too hot. <i> - Yeah, it does feel hot. </i> Yeah, I thought so.	yeah	1	3320486	2381	UK	2008			
Come on, let's play, Truth or Dare, bitch?	I want to play, I want to play, come on. <i> Come on, let's play, Truth or Dare, bitch? </i> You and me.	bitch	3	5145968	96	UK	2012			
You wouldn't want to live round here if you didn't have to, would ya?	What a shit hole. <i> You wouldn't want to live round here if you didn't have to, would ya? </i> Guv, normally we send uniform to do the death-o-grams.	ya	2	3666051	280	UK	2009	you		you
The girl was off her face.	Wouldn't stand up in court. <i> The girl was off her face. </i> So there was no informed consent.	off her face	1	3552835	779	UK	2008			
Sure you don't wanna come in?	ADAM: <i> Sure you don't wanna come in? </i> SINGER:	wanna	3	4640913	809	UK	2011	want to		want to
but he can't,'cause he's brown bread.	I know, it would have been great, but I'd be safe in the knowledge that I could do that, and he won't come back with his man in a box, which would have been brilliant, <i> but he can't,'cause he's brown bread. </i> I'd be there.	'cause	1	4259257	2273	UK	2010			
Hit another bar or something?	What now, ladies? <i> Hit another bar or something? </i> Can't we get a bottle of wine and drink it here?	but	1	3552835	95	UK	2008			
I want to have a crack at your boss.	Nah, it's just I don't to brawl with the footsoldiers <i> I want to have a crack at your boss. </i> Mitch, right?	crack	3	6244263	306	UK	2014	an attempt at violence, in this context		a go at
I fucking loved her, man.	You don't wanna hear it' cause it's the truth. <i> I fucking loved her, man. </i> Yeah, I know.	man	1	5623414	2395	UK	2013			
Give me your fucking money, man.	( Pants) <i> Give me your fucking money, man. </i> Are you fucking deaf?	man	2	3666051	453	UK	2009			
We'll check back with you whenever you have new developments in that case.	Thank you. <i> We'll check back with you whenever you have new developments in that case. </i> But right now, we're gonna go to Tricia Alexander, who is standing by with an amazing story.	tricia	1	4473014	1460	US	2011			
So what's up with the results of the review of Dillon's hard drive?	- Yeah? <i> So what's up with the results of the review of Dillon's hard drive? </i> It's right here.	what's up	1	4473014	1137	US	2011			
You need to check him.	Oh, but he love you, though. <i> You need to check him. </i> What's he say about moving in?	check him	1	185218	137	US	2001			
Otto, I'm planning a trip.	Okay. <i> Otto, I'm planning a trip. </i> You are.	okay	1	5974299	1109	US	2014			
I keep quiet out of love and respect for your mama...	He need to hear this. <i> I keep quiet out of love and respect for your mama... </i> -... but you need to be a man.	mama	1	185218	1831	US	2001			
Ok everybody that's a cut!	Cut! <i> Ok everybody that's a cut! </i> You're doing it again.	cut	2	6441036	15	US	2013			
So Doc how long will this episode gonna last for?	You're so cliché I'm mad at my brain right now. <i> So Doc how long will this episode gonna last for? </i> Oh these delusions are usually short-lived.	gonna	1	6441036	560	US	2013			
Here for the hourly loop?	Hello Meg. <i> Here for the hourly loop? </i> No!	loop	1	6441036	488	US	2013			
My brother doesn't need you to teach him how to hit!	Ah-ah-ah. <i> My brother doesn't need you to teach him how to hit! </i> Okay.	hit	1	5791518	2409	US	2014			
""" Lovers long for the moment their souls may blend in a whisper."""	"( IN ENGLISH) Which means: <i> "" Lovers long for the moment their souls may blend in a whisper."" </i> JIM:"	blend in a whisper	1	5791518	2609	US	2014			
Okay, you need to work on your finger flexibility.	More spread. <i> Okay, you need to work on your finger flexibility. </i> No, it's fine.	okay	1	6173232	468	US	2014			
""" I want to shoot you so bad, my dick's hard""?"	"And are you familiar with the old human saying <i> "" I want to shoot you so bad, my dick's hard""? </i> I don't believe I do."	dick's hard	2	5922900	577	US	2012			
Solving the following riddle will reveal the awful secret behind the universe, assuming you do not go utterly mad in the attempt.	Subtitle by~ pinkmei~ <i> Solving the following riddle will reveal the awful secret behind the universe, assuming you do not go utterly mad in the attempt. </i> Say you have an ax...	mad	1	5922900	2	US	2012			
Ghost door... you see it?	Is that a paintball gun? <i> Ghost door... you see it? </i> Yeah.	ghost	1	5922900	1183	US	2012			
I believe in demons and worms... vile shit in the grease trap of the universe.	I believe that it's more than just murderers and rapists down there. <i> I believe in demons and worms... vile shit in the grease trap of the universe. </i> And the more I think about it, the more I think that it's not just someplace down there.	shit	1	5922900	997	US	2012			
Because they've already said all this nice shit about how I shouldn't be ashamed of the arm, right, and how it couldn't possibly be that bad.	You know why? <i> Because they've already said all this nice shit about how I shouldn't be ashamed of the arm, right, and how it couldn't possibly be that bad. </i> So now you're getting into your critical type stage, right, where I actually show them the arm.	nice shit	1	3618044	359	US	2009			
I got in touch with the fact that the problem had nothing to do with her.	I decided to get help. <i> I got in touch with the fact that the problem had nothing to do with her. </i> I saw that she would forever go on playing victim to my villain.	touch	1	3618044	941	US	2009			
What they're gonna do to him is really bad.	Gabe is in danger. <i> What they're gonna do to him is really bad. </i> I want you to come with us.	gonna	1	5860680	1302	US	2014			
Or did, before you went off like that.	Which, by the way, it does... <i> Or did, before you went off like that. </i> I can't figure out the mathematics of this.	went off	2	5987878	1822	US	2006			
let me get by you real quick, man.	Let me get... <i> let me get by you real quick, man. </i> - Oh, Tango, you had enough?	get by you	1	3692182	1777	US	2009			
Then you take your bra off the side.	Boop. <i> Then you take your bra off the side. </i> You could even imaginary pole, just bring it, smack it.	smack	1	5836657	793	US	2014			
... report that the subways and buses are starting to run, as well.	And I did something stupid, and'm sorry. <i> ... report that the subways and buses are starting to run, as well. </i> Excuse me.	starting	1	5836657	1145	US	2014			
Josh, we have to get off this thing, cos if they find us here...	What are we gonna do? <i> Josh, we have to get off this thing, cos if they find us here... </i> Come on.	cos	1	3552835	1201	UK	2008			
Let's have a dry run.	OK? <i> Let's have a dry run. </i> ( Guillotine rattles)	dry run	1	3564173	1009	UK	2008			
Look, my head's all over the place at the moment, all right?	- What? <i> Look, my head's all over the place at the moment, all right? </i> Sebastian, get out of the car.	all over	1	5510712	1335	UK	2013			
Or I'm going to burn that shit hole of his down, with him still in it.	One fucking week. <i> Or I'm going to burn that shit hole of his down, with him still in it. </i> Fuck off.	shit hole	2	3666051	701	UK	2009			
The Scouser said he used a meat delivery van as his cover, so he'd only drop at suitable places, restaurants or big pubs that serve food.	Safe can't be in his office. <i> The Scouser said he used a meat delivery van as his cover, so he'd only drop at suitable places, restaurants or big pubs that serve food. </i> Now, the only place round here that fits this description is the Rise Club.	scouser	3	5204705	457	UK	2012	name for a liverpudlian		liverpudlian
You nailed it today, man, but you always do.	Yes. <i> You nailed it today, man, but you always do. </i> Seriously, it was cool.	nailed it	2	4640913	560	UK	2011	to prevail, win or triumph	https://www.urbandictionary.com/define.php?term=Nailed%20it	aced it
You and your slag blowhole could be going away for a long time.	Hey, man, you all right? <i> You and your slag blowhole could be going away for a long time. </i> ADAM:	slag	3	4640913	88	UK	2011	a term of contempt		worthless
And that is really cool.	You've got a gateway to hell underneath your house. <i> And that is really cool. </i> What is wrong with you?	cool	2	5167828	523	UK	2001	admirable		amazing
I've worked too fucking hard to let your brother fuck it all up.	Look. <i> I've worked too fucking hard to let your brother fuck it all up. </i> This way, everyone gets their lives back.	fuck	2	3552835	698	UK	2008	sexual intercourse but also used in other contexts		mess
I bet you buzzed off it, didn't ya?	( Hicock) Oh, I bet it did. <i> I bet you buzzed off it, didn't ya? </i> Sticking it to some old codger.	buzzed	2	3666051	399	UK	2009	enjoyed it		loved it
Creepy Carl sure keeps it cold in here.	You like? <i> Creepy Carl sure keeps it cold in here. </i> That is a lot of wattage.	creepy	3	5167828	635	UK	2001	unpleasant		nasty
And you leave me with a spring in your step and you go off and you fuck your boyfriend and you fuck your girlfriend.	And you drink it in. <i> And you leave me with a spring in your step and you go off and you fuck your boyfriend and you fuck your girlfriend. </i> And you all drive around in that stupid, little yellow car.	fuck	1	3320486	2642	UK	2008			
I'll be leading the squad on this one.	I have spoken to Division and they concur. <i> I'll be leading the squad on this one. </i> There'll be a full briefing.	squad	2	3666051	675	UK	2009	this is not slang		not slang
Babe, if you want to chill at the beach, then, we can catch up later, yeah?	I thought it was just like a girlie weekend, like the three of us. <i> Babe, if you want to chill at the beach, then, we can catch up later, yeah? </i> Come on, Tam.	chill	2	3552835	146	UK	2008	to relax		relax
Yeah, I like it long.	Don't you? <i> Yeah, I like it long. </i> What do you think of the moustache?	yeah	1	4473014	767	US	2011			
We had a really hot time.	You are shitting me. <i> We had a really hot time. </i> This is an old girlfriend who found you on Facebook?	hot	1	5974299	580	US	2014			
Don't think I'll let you get it in her head to kick me out like the last nigga did my brother.	You're a dirty motherfucker, Melvin. <i> Don't think I'll let you get it in her head to kick me out like the last nigga did my brother. </i> 'Cause I ain't having it, bruh.	nigga	2	185218	1047	US	2001	a general derogatory term applicable to anyone regardless of race/skin color.		jerk
Hang up and come here so I can drop it in your drawers.	- I definitely feel you. <i> Hang up and come here so I can drop it in your drawers. </i> Damn!	drawers	2	185218	1504	US	2001	"a term for one's underwear, but sometimes your pants. usually used a african-americans and pronounced ""draws""."	https://www.urbandictionary.com/define.php?term=drawers	panties
You need to check your boyfriend, Melvin.	I didn't. <i> You need to check your boyfriend, Melvin. </i> You're blaming me for his bullshit.	check	1	185218	1765	US	2001			
Teddy must have dinged you pretty bad.	What is this? <i> Teddy must have dinged you pretty bad. </i> Wait?	dinged	3	6441036	198	US	2013	to get rejected, usually from a graduate school.	https://www.urbandictionary.com/define.php?term=dinged	hurt
Ned is a good man, with a bright future.	He's asked your mother to marry him. <i> Ned is a good man, with a bright future. </i> But I said no.	bright future	1	5036434	1196	US	2012			
I L word you so hard.	( CHUCKLES) <i> I L word you so hard. </i> And you know what?	word	1	5791518	2691	US	2014			
Do you wanna come check it out with me?	You know, it's funny because I was actually on my way to the salon. <i> Do you wanna come check it out with me? </i> For what?	check	1	5791518	1711	US	2014			
Get off that dodo bird right now!	Tyler! <i> Get off that dodo bird right now! </i> Whoa, whoa, whoa.	dodo bird	1	5791518	1610	US	2014			
If you cued the music and not the dance, you'd have a lot of light cues.	Good. <i> If you cued the music and not the dance, you'd have a lot of light cues. </i> Yeah.	cues	1	6173232	177	US	2014			
You made me see something out of my own head.	You... you made me see something. <i> You made me see something out of my own head. </i> You freaked me out so that I would see something.	out	1	5922900	761	US	2012			
# Every man I fall for## drinks his coffee black#	"But you do. <i> # Every man I fall for## drinks his coffee black# </i> #"" Love"" and"" hate"" are tattooed on his knuckles## and my name is on his back#"	fall	1	3618044	1107	US	2009			
I know you're gonna look hot in it.	No, no, that's okay. <i> I know you're gonna look hot in it. </i> Well, let's hope you find it, then.	hot	2	5987878	106	US	2006	2. very attractive.	https://www.urbandictionary.com/define.php?term=Hot	sexy
Yo, get this motherfucker, man!	- Shut the fuck up! <i> Yo, get this motherfucker, man! </i> He ain't built for this shit!	yo	1	3692182	2374	US	2009			
Well, it kind of depends on the cake situation.	Do you want to come? <i> Well, it kind of depends on the cake situation. </i> Well, the birthday boy is single.	situation	1	5836657	52	US	2014			
You like fucking dead people?	She's dead. <i> You like fucking dead people? </i> Cab's stored.	fucking	1	5510712	856	UK	2013			
I was a different man then.	I was... <i> I was a different man then. </i> When I met my Kath I knew that all that stuff had to be locked away.	different man	1	3666051	188	UK	2009			
Where do you live, darling?	Ah. <i> Where do you live, darling? </i> Ah!	darling	1	6244263	29	UK	2014			
I've gotta go to work.	"Oh, yes. <i> I've gotta go to work. </i> Then I lassoed her and I said,"" Baby, you're coming to London with me."""	gotta	3	5623414	38	UK	2013	"short for ""got to"", meaning ""have to""."	https://www.urbandictionary.com/define.php?term=gotta	have to
Because our kid's run off because he hates us so much because of what we do.	Today's the first time we've spent more than half an hour with each other without a bloody fogey or shitty arse or liquidised bloody carrots in the way for a year. <i> Because our kid's run off because he hates us so much because of what we do. </i> That isn't why.	kid's	1	3564173	1198	UK	2008			
Honestly, this fucking bloke, he's on fire...	Come here, girls! <i> Honestly, this fucking bloke, he's on fire... </i> Oh!	bloke	2	5623414	1837	UK	2013	a man		man
Now let me out or I will scream so fucking loud...	Yes, I am. <i> Now let me out or I will scream so fucking loud... </i> - Shit...	fucking	1	3357285	906	UK	2007			
And that time I chucked dirt on your head.	Sorry for not saying sorry when you ran me over. <i> And that time I chucked dirt on your head. </i> That's an awful lot of things to be sorry for at such a young age.	chucked	1	3564173	256	UK	2008			
I'm getting off this fucking boat right now.	I am not staying here. <i> I'm getting off this fucking boat right now. </i> OK.	fucking	1	3552835	1204	UK	2008			
Kids eat some cake and we lift the grim bloody pallor of mortality for a few glorious moments.	God, what's the worst that could happen? <i> Kids eat some cake and we lift the grim bloody pallor of mortality for a few glorious moments. </i> OK, this one.	kids	1	3564173	724	UK	2008			
"Turn to your neighbour and say,"" Man, I love you."""	"Lord, help me and these idiots to use the gift you blessed us with to come together. <i> Turn to your neighbour and say,"" Man, I love you."" </i> Man, I love you."	man	1	4640913	146	UK	2011			
What happen to the old Dane, I used to know that would draw rainbows and people with smiley faces on them?	I'll probably strangle him. <i> What happen to the old Dane, I used to know that would draw rainbows and people with smiley faces on them? </i> I grew up.	the old	1	5167828	35	UK	2001			
You know, you break the ice.	Yeah. <i> You know, you break the ice. </i> - Yeah.	break the ice	1	3558591	1747	US	2005			
Now, if you sit there and expect me to go out on a limb and try to pull off the greatest crash of all time I gotta know that your head's right.	What you should be worried about is you're getting sloppy. <i> Now, if you sit there and expect me to go out on a limb and try to pull off the greatest crash of all time I gotta know that your head's right. </i> There is no room for error.	out on a limb	1	3558591	407	US	2005			
I run a little hot and cold.	I was just freaking out or something in the mountains. <i> I run a little hot and cold. </i> Yeah, just a little.	run	1	5974299	1313	US	2014			
We won't be long, okay?	Don't worry. <i> We won't be long, okay? </i> Bye.	long	1	5036434	708	US	2012			
What they don't understand is that their type is an even worse drag for the lady with any sense than the on-and-off pig ever was, because how'd you like to just lay there and be worked on, huh,	They think they're being generous in bed. <i> What they don't understand is that their type is an even worse drag for the lady with any sense than the on-and-off pig ever was, because how'd you like to just lay there and be worked on, huh, </i> like a Porsche?	pig	1	3618044	254	US	2009			
Oh, more pussy than a toilet seat, man.	And so on. <i> Oh, more pussy than a toilet seat, man. </i> I shit you not.	pussy	3	3618044	372	US	2009	the female pubic hair		cor[ulent
I should probably catch lily.	- What you're doing? <i> I should probably catch lily. </i> - What are you doing?	lily	1	5860680	309	US	2014			
They see you rolling around with this motherfucker, man, it gonna be like you back on the throne the first day.	"You know them police think that"" bird of a feather"" shit, right? <i> They see you rolling around with this motherfucker, man, it gonna be like you back on the throne the first day. </i> Which is why I had this plan for the business."	rolling around	1	3692182	595	US	2009			
Yeah, we caught him, but the bosses are gonna wanna find some kind of thing that's gonna clean this up pronto.	Please tell me they caught the son of a bitch. <i> Yeah, we caught him, but the bosses are gonna wanna find some kind of thing that's gonna clean this up pronto. </i> So there's gonna be some kind of play that goes down.	pronto	1	3692182	335	US	2009			
- You gonna cut me down in the street?	What the fuck? <i> - You gonna cut me down in the street? </i> - Yeah.	cut	2	3692182	2241	US	2009			
Please, man, I didn't take shit.	I said kick the fuck back. <i> Please, man, I didn't take shit. </i> I got enough money right here to buy you, your family and a Slurpee.	take shit	1	3692182	1537	US	2009			
Sorry, I was trying to cool you off.	If there is one thing that you take away from this whole experience... never. <i> Sorry, I was trying to cool you off. </i> My dad used to give me those.	cool you off	1	5836657	942	US	2014			
I mean, that is cool, sweet, I will-- that will be a very nice thing to happen, Megan.	That is awesome. <i> I mean, that is cool, sweet, I will-- that will be a very nice thing to happen, Megan. </i> I will see you soon.	cool	2	5836657	172	US	2014			
I think I'm gonna take off.	You know what, save your oatmeal. <i> I think I'm gonna take off. </i> But, um, thanks for having me, it was awesome to get to know you.	take off	2	5836657	259	US	2014			
Somebody still alive today started work when they were just a kid.	It's hard to believe now, innit? <i> Somebody still alive today started work when they were just a kid. </i> Just a little boy.	kid	1	5623414	1754	UK	2013			
I wanna kiss that man.	The only person who could truly throw you a welcome home party. <i> I wanna kiss that man. </i> Come here!	wanna	1	5510712	31	UK	2013			
Ain't no fucking ambulance gonna come here, brother.	( Sighs) <i> Ain't no fucking ambulance gonna come here, brother. </i> Do you understand me?	ain't	1	3666051	619	UK	2009			
Just nod if you're cool.	You don't have to say anything. <i> Just nod if you're cool. </i> I just need you... on that chair.	cool	1	5145968	500	UK	2012			
I'm sorry it took me so long to bring you here, my son.	For the next 90 minutes, anything can happen. <i> I'm sorry it took me so long to bring you here, my son. </i> Look at that.	my son	1	6244263	464	UK	2014			
Now back the fuck off.	Get away from her. <i> Now back the fuck off. </i> He's got the keys.	fuck off	1	3552835	1105	UK	2008			
I'll give it a listen, man.	Alright, man. <i> I'll give it a listen, man. </i> I will do.	man	1	5623414	756	UK	2013			
I'll stick it up your fucking arsehole and rip your fucking hair out, and you'll fucking love every fucking minute of it!	And you... <i> I'll stick it up your fucking arsehole and rip your fucking hair out, and you'll fucking love every fucking minute of it! </i> You're the type, I can tell.	arsehole	1	3666051	416	UK	2009			
Hey, Sack, how long have you and Claire been seeing each other?	I'm gonna see a Dr. Epstein... <i> Hey, Sack, how long have you and Claire been seeing each other? </i> Claire and I?	seeing	1	3558591	1470	US	2005			
- We'll burn them with the post.	- Well, don't worry about it. <i> - We'll burn them with the post. </i> - No, no.	burn	2	3558591	1167	US	2005			
Oh, my God, and Stephanie Giljames you are still so hot!	Oh, divorced. <i> Oh, my God, and Stephanie Giljames you are still so hot! </i> Oh, Lara.	hot	1	5974299	288	US	2014			
You sound real hard on the phone.	- He's riding a bike? <i> You sound real hard on the phone. </i> - Y'all got to get that nigga, cuz.	hard	3	185218	1704	US	2001	to a great extent, in a zealous manner.		aggressive
I ain't even mad at you,'cause I already knew that.	I figured that much. <i> I ain't even mad at you,'cause I already knew that. </i> Did you fuck her with these condoms in my car?	'cause	1	185218	1225	US	2001			
I knew you'd come back.	Mom! <i> I knew you'd come back. </i> Well as they say, the show must go on.	mom	1	6441036	1736	US	2013			
Yeah baby you live here too.	I'm still here? <i> Yeah baby you live here too. </i> What the?	baby	1	6441036	416	US	2013			
My head is boiling, Mom.	TYLER: <i> My head is boiling, Mom. </i> Get it off.	boiling	1	5791518	1509	US	2014			
I know you guys are trying to work it out, but it broke my heart.	I was at your house the other day and I saw your ex-husband blow off Tyler when he wanted to practice. <i> I know you guys are trying to work it out, but it broke my heart. </i> We're not working it out.	broke my heart	1	5791518	3029	US	2014			
It is Christmas Eve, and we are going to sit out on that patio gonna make ourselves a little fire, pop some bubbly and we are gonna celebrate being young and being alive.	I'm making you some fettuccine. <i> It is Christmas Eve, and we are going to sit out on that patio gonna make ourselves a little fire, pop some bubbly and we are gonna celebrate being young and being alive. </i> You with me, Simpkins?	gonna	1	5987878	1725	US	2006			
They done clap a little homey, man.	- Yo, these fucking pigs, man. <i> They done clap a little homey, man. </i> Shit crazy right now, boy.	clap	2	3692182	107	US	2009	to infect with venereal disease		diseases
It's not a party, it's a bunch of people sitting around in the dark, texting.	People talk about how great it is to be single and that's bullshit, joining the single party. <i> It's not a party, it's a bunch of people sitting around in the dark, texting. </i> Your complaints about how slow the plowing is going in outer boroughs such as queens and Brooklyn are not falling on deaf ears.	texting	1	5836657	1141	US	2014			
I think I'm gonna be sick.	- Yeah. <i> I think I'm gonna be sick. </i> - Is that it?	gonna	3	5623414	729	UK	2013	short for, going to	https://www.urbandictionary.com/define.php?term=gonna	going to
- Oh, well, he was quite fit, wasn't he?	You're distracted by squirrels, by dogs, by children in the park, by old ladies in surgical stockings, by half-naked men in their gardens. <i> - Oh, well, he was quite fit, wasn't he? </i> - No, he wasn't fit, he had a paunch.	fit	2	3320486	1212	UK	2008	good-looking		good-looking
By the same token, the criminal needs the drug squad to have the inclination to continue helping them perpetrate Step 3, so every now and then a big chimp will stitch up a little monkey.	The drug squad needs to fill a certain quota of arrests and seized quantities to prove it's keeping the streets of England as clean as the Armitage Shanks in Buckingham Palace. <i> By the same token, the criminal needs the drug squad to have the inclination to continue helping them perpetrate Step 3, so every now and then a big chimp will stitch up a little monkey. </i> I'm the monkey.	stitch	1	5204705	400	UK	2012			
I thought we'd try and avoid the A roads, right, and go up the B6255 to Hawes, right, and then cut down through Oughtershaw,	Younger women because of their life-giving qualities, and older women just' cause, you know,'cause you appreciate personality more. <i> I thought we'd try and avoid the A roads, right, and go up the B6255 to Hawes, right, and then cut down through Oughtershaw, </i> Yockenthwaite, Buckden, down the B6160 through Kettlewell, then the B6265 through Grassington to Pateley Bridge, then up to Ramsgill from there, right?	right	1	6107374	1750	UK	2010			
You're only supposed to blow the bloody doors off!	She was only 16... <i> You're only supposed to blow the bloody doors off! </i> That's Michael Caine.	bloody	2	4259257	350	UK	2010	used to emphasise words	https://www.urbandictionary.com/define.php?term=Bloody	those
Once you're inside you gotta work as a unit.	Her chainsaw ran out of battery. <i> Once you're inside you gotta work as a unit. </i> Look at his body position.	gotta	1	6244263	184	UK	2014			
'Cause Coleridge was off on his travels.	So he, you know, he had to... <i> 'Cause Coleridge was off on his travels. </i> Couldn't cope with the domesticity of life.	'cause	1	4259257	999	UK	2010			
